Model,BLEU Score,Semantic Coherence,Factual Accuracy,Content Coverage
facebook/bart-large-cnn,0.3488121983156154,0.6556436873204191,0.45834864737274555,0.371605842805243
t5-large,0.3397876196809291,0.7549538804086868,0.4572646019979348,0.4090832918303214
sshleifer/distilbart-cnn-12-6,0.30525945503925905,0.7083274464748222,0.5217209042936393,0.4839078115972298
google/pegasus-large,0.36171531600300605,0.7071036571216202,0.4205615814669096,0.36299004518272276
allenai/led-large-16384-arxiv,0.15296891656854678,0.24386817993023566,0.2840985023975071,0.18635895326933677
